55867,0,0,255,306,25,0,1,1,0,4,47,55,0,15,2,2,853,17,78,15,2,58,0,23,0,355,48,0,808,0,0,153,235,0,2,2,43,0,1,0,0,0,2,14,0,0,0,0,0,0,0,7,33,149,170,49,597,5,3,2,
0,1635,1,0,89,1,0,0,0,0,0,8,0,0,0,0,0,31,0,1,0,0,0,0,0,0,5,1,0,14,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,
1,0,851,0,33,0,0,0,0,0,0,0,2,0,1,0,0,56,0,0,3,0,0,0,0,0,2,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
0,0,0,77776,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
277,161,53,256,30743,146,18,28,540,36,4,14,612,0,90,9,6,200,2,101,0,13,40,0,2,0,181,1913,0,226,0,0,39,37,4,0,0,33,0,0,0,0,0,1,3,0,0,0,0,1,0,1,2,5,0,3,11,6,4,1,2,
2,0,0,0,56,5390,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
0,0,0,5,51,0,1601,0,251,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,29672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,233,0,138,8,9280,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,883,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,5,0,0,0,
0,0,0,0,0,0,0,0,0,6854,0,0,86,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
